epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10377.5,0.78898,0.5381,1.06397,0.91376,0.92451,0.9425,0.76969,0.7573,0.46333,1.01776,0.005842,0.005842,0.005842
44,10618,0.78596,0.53687,1.06206,0.90227,0.93645,0.94741,0.77098,0.77263,0.46495,1.01982,0.005743,0.005743,0.005743
45,10858.1,0.7746,0.52943,1.05709,0.90504,0.92287,0.95167,0.78718,0.76107,0.45715,1.0085,0.005644,0.005644,0.005644
46,11098.9,0.77103,0.52457,1.05354,0.88046,0.93785,0.95143,0.77593,0.76144,0.46011,1.02005,0.005545,0.005545,0.005545
47,11339.1,0.76769,0.51577,1.05218,0.89924,0.9228,0.95414,0.7804,0.76763,0.45903,1.01578,0.005446,0.005446,0.005446
48,11579.3,0.75868,0.51369,1.04907,0.90592,0.92825,0.95377,0.7757,0.763,0.45621,1.0157,0.005347,0.005347,0.005347
49,11819.6,0.75927,0.51145,1.04758,0.90691,0.9242,0.95404,0.78471,0.75823,0.46006,1.01751,0.005248,0.005248,0.005248
50,12060,0.75645,0.50928,1.04467,0.89232,0.92486,0.95244,0.77772,0.75019,0.45277,1.00968,0.005149,0.005149,0.005149
51,12300.2,0.74723,0.50352,1.04056,0.89248,0.9336,0.95534,0.78139,0.76076,0.4586,1.01421,0.00505,0.00505,0.00505
52,12540.4,0.7447,0.50023,1.04139,0.89472,0.93373,0.95512,0.78113,0.74807,0.44773,1.01199,0.004951,0.004951,0.004951
53,12780.8,0.73975,0.49758,1.03741,0.89668,0.9244,0.94936,0.77657,0.75332,0.45167,1.00897,0.004852,0.004852,0.004852
54,13021,0.73166,0.4909,1.0325,0.89846,0.93321,0.95674,0.77858,0.75155,0.44591,1.01158,0.004753,0.004753,0.004753
55,13261.1,0.72908,0.48721,1.03177,0.89742,0.92319,0.95601,0.78233,0.75148,0.44405,1.01075,0.004654,0.004654,0.004654
56,13500.9,0.72411,0.48713,1.02823,0.9083,0.91935,0.95511,0.78056,0.75304,0.44779,1.01094,0.004555,0.004555,0.004555
57,13741.5,0.71946,0.48181,1.02616,0.89547,0.93169,0.95534,0.78519,0.74639,0.4485,1.01066,0.004456,0.004456,0.004456
58,13981.5,0.71592,0.47892,1.02229,0.89711,0.92521,0.95649,0.78558,0.74683,0.44427,1.00849,0.004357,0.004357,0.004357
59,14221.2,0.70905,0.47542,1.02371,0.88034,0.94268,0.95387,0.78094,0.74524,0.44184,1.00855,0.004258,0.004258,0.004258
60,14461.2,0.70638,0.47256,1.01856,0.90861,0.91997,0.95507,0.78153,0.74567,0.43532,1.01033,0.004159,0.004159,0.004159
61,14704.8,0.70665,0.46912,1.02203,0.89996,0.9301,0.95233,0.78235,0.74528,0.43807,1.01141,0.00406,0.00406,0.00406
62,14945.1,0.70332,0.46921,1.01996,0.90276,0.9337,0.95787,0.7885,0.74575,0.43762,1.00443,0.003961,0.003961,0.003961
63,15185.5,0.69239,0.46129,1.01252,0.89268,0.92854,0.95525,0.78824,0.74206,0.43634,1.00452,0.003862,0.003862,0.003862
64,15425.8,0.69171,0.45923,1.01545,0.90834,0.92189,0.95613,0.78548,0.74623,0.43563,1.01045,0.003763,0.003763,0.003763
65,15666.5,0.68003,0.45321,1.01056,0.90195,0.92296,0.95325,0.7874,0.73806,0.43529,1.00372,0.003664,0.003664,0.003664
66,15906.4,0.67719,0.44485,1.00531,0.90077,0.92525,0.9549,0.78672,0.73771,0.43316,1.00427,0.003565,0.003565,0.003565
67,16146.2,0.67394,0.44273,1.00205,0.90091,0.92412,0.95302,0.78889,0.74129,0.43802,1.00646,0.003466,0.003466,0.003466
68,16386.4,0.66548,0.44068,1.00166,0.90574,0.92338,0.95195,0.78451,0.73541,0.43619,1.00335,0.003367,0.003367,0.003367
69,16626.2,0.66932,0.44302,1.00241,0.90096,0.92497,0.9476,0.77557,0.73994,0.43671,1.00354,0.003268,0.003268,0.003268
70,16866.3,0.66535,0.4399,1.00085,0.89091,0.92817,0.95399,0.78783,0.73847,0.43807,1.00383,0.003169,0.003169,0.003169
71,17107,0.65227,0.43147,0.99621,0.91175,0.91843,0.95414,0.79057,0.73699,0.43738,1.00388,0.00307,0.00307,0.00307
72,17355.4,0.65473,0.43446,0.99431,0.91249,0.91947,0.9535,0.79257,0.73914,0.43455,1.00583,0.002971,0.002971,0.002971
73,17596,0.65056,0.43011,0.99528,0.90678,0.92644,0.9535,0.79595,0.73642,0.43049,1.00718,0.002872,0.002872,0.002872
74,17836.4,0.64513,0.4238,0.99244,0.90716,0.93306,0.95555,0.80011,0.73391,0.42979,1.00428,0.002773,0.002773,0.002773
75,18077.1,0.63978,0.42308,0.98931,0.91038,0.92283,0.95661,0.80111,0.73557,0.43262,1.00442,0.002674,0.002674,0.002674
76,18318.2,0.6326,0.41998,0.9877,0.90769,0.92785,0.95651,0.80184,0.73307,0.43318,1.00152,0.002575,0.002575,0.002575
77,18559,0.63099,0.41381,0.98534,0.90907,0.92322,0.95655,0.79919,0.73081,0.43004,0.99798,0.002476,0.002476,0.002476
78,18799,0.62574,0.41177,0.984,0.9083,0.9228,0.95533,0.79594,0.73251,0.43071,0.99941,0.002377,0.002377,0.002377
79,19038.7,0.62216,0.40944,0.97979,0.90775,0.92416,0.95564,0.79789,0.73148,0.43218,1.00009,0.002278,0.002278,0.002278
80,19279,0.62199,0.40828,0.97948,0.9061,0.92167,0.95697,0.79782,0.73355,0.4296,1.00317,0.002179,0.002179,0.002179
81,19518.6,0.61597,0.40602,0.97994,0.90568,0.923,0.95632,0.79753,0.7336,0.43142,1.00627,0.00208,0.00208,0.00208
82,19758.5,0.61113,0.40364,0.97894,0.90591,0.93174,0.95659,0.79851,0.73478,0.43104,1.00931,0.001981,0.001981,0.001981
83,19998.4,0.60472,0.39571,0.97131,0.90825,0.92926,0.9557,0.79765,0.73503,0.43452,1.00863,0.001882,0.001882,0.001882
84,20238.1,0.59722,0.39289,0.9718,0.9086,0.92826,0.95738,0.79934,0.73507,0.43303,1.00855,0.001783,0.001783,0.001783
85,20478.3,0.59812,0.39395,0.97236,0.90692,0.92896,0.95851,0.80069,0.73385,0.43347,1.00809,0.001684,0.001684,0.001684
86,20718,0.59692,0.39175,0.9708,0.90716,0.92531,0.95893,0.80188,0.73403,0.43093,1.00952,0.001585,0.001585,0.001585
87,20958.2,0.59254,0.39053,0.971,0.90928,0.92752,0.95876,0.80207,0.73464,0.43054,1.00791,0.001486,0.001486,0.001486
88,21198.3,0.58653,0.38244,0.96652,0.91273,0.92545,0.95795,0.7993,0.73408,0.42775,1.00664,0.001387,0.001387,0.001387
89,21438.1,0.5843,0.38345,0.96631,0.91437,0.92137,0.95803,0.80057,0.73481,0.42786,1.00724,0.001288,0.001288,0.001288
90,21677.7,0.57785,0.37914,0.9655,0.90966,0.92469,0.95715,0.79908,0.7353,0.42753,1.0081,0.001189,0.001189,0.001189
91,21917,0.50854,0.28905,0.90391,0.90139,0.93375,0.9567,0.80288,0.73491,0.42822,1.00907,0.00109,0.00109,0.00109
92,22156.6,0.49325,0.28291,0.89639,0.89785,0.93889,0.95692,0.80034,0.73296,0.4293,1.00898,0.000991,0.000991,0.000991
93,22395.2,0.48766,0.27763,0.89337,0.89575,0.94228,0.95695,0.80252,0.7313,0.42966,1.00919,0.000892,0.000892,0.000892
94,22634.4,0.47936,0.27299,0.88891,0.89392,0.94133,0.95721,0.80177,0.72925,0.42819,1.0088,0.000793,0.000793,0.000793
95,22873.3,0.47341,0.27075,0.88487,0.89077,0.94344,0.95653,0.79888,0.72994,0.42965,1.0085,0.000694,0.000694,0.000694
96,23112.3,0.46496,0.26597,0.88058,0.91445,0.91917,0.95753,0.80062,0.73139,0.43115,1.01028,0.000595,0.000595,0.000595
97,23351.3,0.46099,0.26434,0.87756,0.91622,0.91802,0.95702,0.79964,0.73208,0.43263,1.01166,0.000496,0.000496,0.000496
98,23590.3,0.45688,0.26279,0.87967,0.90143,0.92996,0.95687,0.8004,0.73374,0.43396,1.01318,0.000397,0.000397,0.000397
99,23829.4,0.45505,0.26019,0.87698,0.89998,0.93366,0.95697,0.80015,0.73447,0.43478,1.01448,0.000298,0.000298,0.000298
100,24068.2,0.45007,0.25823,0.8766,0.89895,0.93463,0.95672,0.7992,0.73454,0.43514,1.01532,0.000199,0.000199,0.000199
